ID,BOLSISTA,SINALIZADOR_INGRESSANTE,ANOS_PM,ANO_PESQUISA,INDE,IAA,IEG,IPS,IDA,IPP,IPV,IAN,INSTITUICAO_ENSINO_ALUNO,FASE,TURMA,PEDRA,PONTO_VIRADA
1,0,0,2,2020,7.884,8.5,8.7,7.5,7.0,5.938,7.75,10.0,Escola Pública,2,H,Ametista,0
2,0,0,2,2020,7.856,7.917,8.9,7.5,5.5,8.125,8.111,10.0,Escola Pública,3,H,Ametista,0
3,0,0,2,2020,5.076,8.0,4.1,6.875,0.0,7.188,7.75,5.0,Escola Pública,1,D,Quartzo,0
4,0,0,1,2020,8.077,7.5,8.0,7.5,7.5,8.438,8.167,10.0,Escola Pública,2,M,Ametista,0
5,1,0,3,2020,8.381,8.333,9.9,4.375,7.333,8.75,8.944,10.0,Rede Decisão/União,4,L,Ametista,1
6,0,0,1,2020,5.162,5.833,5.2,3.75,0.0,7.969,6.833,10.0,Escola Pública,3,B,Quartzo,0
7,0,1,0,2020,9.713,9.0,10.0,8.125,10.0,10.0,10.0,10.0,Escola Pública,0,A,Topázio,1
8,1,0,3,2020,5.839,6.25,6.0,5.625,6.667,5.625,5.278,5.0,Rede Decisão/União,3,G,Quartzo,0
9,0,0,2,2020,6.435,8.0,7.6,6.875,0.0,8.438,7.917,10.0,Escola Pública,2,M,Ágata,0
10,0,0,1,2020,5.163,8.5,4.0,7.5,0.0,8.125,7.25,5.0,Escola Pública,2,D,Quartzo,0
11,0,0,2,2020,7.766,9.5,6.8,7.5,10.0,6.562,7.75,5.0,Escola Pública,1,G,Ametista,0
12,0,0,3,2020,7.206,9.583,7.0,7.5,6.5,7.083,7.944,5.0,Escola Pública,3,E,Ágata,0
13,1,0,2,2020,9.355,9.583,9.6,6.875,9.0,10.0,9.944,10.0,Rede Decisão/União,3,J,Topázio,1
14,0,1,0,2020,7.125,7.917,10.0,7.5,4.75,2.5,6.917,10.0,Escola Pública,0,C,Ágata,0
15,0,1,0,2020,7.014,6.667,4.5,7.5,8.667,7.083,6.278,10.0,Escola Pública,3,E,Ágata,0
16,0,0,2,2020,7.699,8.5,9.3,6.875,7.0,8.125,7.944,5.0,Escola Pública,2,C,Ametista,0
17,0,0,3,2020,6.644,8.75,6.1,6.25,5.0,7.656,8.292,5.0,Escola Pública,7,B,Ágata,0
18,0,0,1,2020,8.308,9.583,9.9,7.5,8.0,8.75,8.222,5.0,Escola Pública,3,C,Ametista,0
19,0,0,2,2020,6.679,10.0,7.7,4.375,2.5,6.458,7.778,10.0,Escola Pública,2,N,Ágata,0
20,0,0,3,2020,8.131,6.25,9.4,7.5,8.333,8.542,6.778,10.0,Escola Pública,3,F,Ametista,0
21,0,1,0,2020,7.46,8.0,8.3,7.5,7.25,7.5,7.75,5.0,Escola Pública,1,D,Ametista,0
22,0,0,2,2020,7.805,7.5,7.5,7.5,7.0,7.969,8.042,10.0,Escola Pública,4,F,Ametista,0
23,0,1,0,2020,6.218,9.0,6.8,7.5,0.0,6.25,7.917,10.0,Escola Pública,1,M,Ágata,0
24,0,0,1,2020,6.631,8.5,1.0,7.5,10.0,7.812,7.75,5.0,Escola Pública,1,G,Ágata,0
25,0,1,0,2020,6.967,9.5,10.0,7.5,0.0,7.5,7.583,10.0,Escola Pública,0,C,Ágata,0
26,0,0,1,2020,8.956,9.5,9.8,7.5,10.0,8.125,7.417,10.0,Escola Pública,0,D,Topázio,0
27,0,0,2,2020,8.181,10.0,8.6,6.25,7.0,7.917,8.222,10.0,Escola Pública,2,F,Ametista,0
28,1,0,4,2020,8.697,9.167,10.0,7.5,8.2,0.0,0.0,10.0,Einstein,5,X,Topázio,0
29,1,0,3,2020,6.878,0.0,9.0,7.5,6.333,8.281,8.667,5.0,Rede Decisão/União,6,C,Ágata,1
30,1,0,2,2020,7.312,8.333,7.1,6.25,5.833,7.5,7.583,10.0,Rede Decisão/União,6,B,Ametista,0
