ID,NOME,ANO_PESQUISA,INSTITUICAO_ENSINO_ALUNO,BOLSISTA,ANOS_PM,FASE,TURMA,PONTO_VIRADA,INDE,PEDRA,IAA,IEG,IPS,IDA,IPP,IPV,IAN,NIVEL_IDEAL,DEFASAGEM
1,ALUNO-1,2020,Escola Pública,0,2,2,H,Não,7.884,Ametista,8.5,8.7,7.5,7.0,5.938,7.75,10.0,,
3,ALUNO-3,2020,Escola Pública,0,2,3,H,Não,7.856,Ametista,7.917,8.9,7.5,5.5,8.125,8.111,10.0,,
4,ALUNO-4,2020,Escola Pública,0,2,1,D,Não,5.076,Quartzo,8.0,4.1,6.875,0.0,7.188,7.75,5.0,,
5,ALUNO-5,2020,Escola Pública,0,1,2,M,Não,8.077,Ametista,7.5,8.0,7.5,7.5,8.438,8.167,10.0,,
8,ALUNO-8,2020,Rede Decisão/União,1,3,4,L,Sim,8.381,Ametista,8.333,9.9,4.375,7.333,8.75,8.944,10.0,,
10,ALUNO-10,2020,Escola Pública,0,1,3,B,Não,5.162,Quartzo,5.833,5.2,3.75,0.0,7.969,6.833,10.0,,
11,ALUNO-11,2020,Escola Pública,0,0,0,A,Sim,9.713,Topázio,9.0,10.0,8.125,10.0,10.0,10.0,10.0,,
12,ALUNO-12,2020,Rede Decisão/União,1,3,3,G,Não,5.839,Quartzo,6.25,6.0,5.625,6.667,5.625,5.278,5.0,,
14,ALUNO-14,2020,Escola Pública,0,2,2,M,Não,6.435,Ágata,8.0,7.6,6.875,0.0,8.438,7.917,10.0,,
15,ALUNO-15,2020,Escola Pública,0,1,2,D,Não,5.163,Quartzo,8.5,4.0,7.5,0.0,8.125,7.25,5.0,,
17,ALUNO-17,2020,Escola Pública,0,2,1,G,Não,7.766,Ametista,9.5,6.8,7.5,10.0,6.562,7.75,5.0,,
18,ALUNO-18,2020,Escola Pública,0,3,3,E,Não,7.206,Ágata,9.583,7.0,7.5,6.5,7.083,7.944,5.0,,
28,ALUNO-28,2020,Rede Decisão/União,1,2,3,J,Sim,9.355,Topázio,9.583,9.6,6.875,9.0,10.0,9.944,10.0,,
30,ALUNO-30,2020,Escola Pública,0,0,0,C,Não,7.125,Ágata,7.917,10.0,7.5,4.75,2.5,6.917,10.0,,
33,ALUNO-33,2020,Escola Pública,0,0,3,E,Não,7.014,Ágata,6.667,4.5,7.5,8.667,7.083,6.278,10.0,,
34,ALUNO-34,2020,Escola Pública,0,2,2,C,Não,7.699,Ametista,8.5,9.3,6.875,7.0,8.125,7.944,5.0,,
35,ALUNO-35,2020,Escola Pública,0,3,7,B,Não,6.644,Ágata,8.75,6.1,6.25,5.0,7.656,8.292,5.0,,
36,ALUNO-36,2020,Escola Pública,0,1,3,C,Não,8.308,Ametista,9.583,9.9,7.5,8.0,8.75,8.222,5.0,,
37,ALUNO-37,2020,Escola Pública,0,2,2,N,Não,6.679,Ágata,10.0,7.7,4.375,2.5,6.458,7.778,10.0,,
39,ALUNO-39,2020,Escola Pública,0,3,3,F,Não,8.131,Ametista,6.25,9.4,7.5,8.333,8.542,6.778,10.0,,
41,ALUNO-41,2020,Escola Pública,0,0,1,D,Não,7.46,Ametista,8.0,8.3,7.5,7.25,7.5,7.75,5.0,,
43,ALUNO-43,2020,Escola Pública,0,2,4,F,Não,7.805,Ametista,7.5,7.5,7.5,7.0,7.969,8.042,10.0,,
44,ALUNO-44,2020,Escola Pública,0,0,1,M,Não,6.218,Ágata,9.0,6.8,7.5,0.0,6.25,7.917,10.0,,
45,ALUNO-45,2020,Escola Pública,0,1,1,G,Não,6.631,Ágata,8.5,1.0,7.5,10.0,7.812,7.75,5.0,,
46,ALUNO-46,2020,Escola Pública,0,0,0,C,Não,6.967,Ágata,9.5,10.0,7.5,0.0,7.5,7.583,10.0,,
