NOME,INSTITUICAO_ENSINO_ALUNO_2020,IDADE_ALUNO_2020,ANOS_PM_2020,FASE_2020,TURMA_2020,PONTO_VIRADA_2020,INDE_2020,INDE_CONCEITO_2020,PEDRA_2020,DESTAQUE_IEG_2020,DESTAQUE_IDA_2020,DESTAQUE_IPV_2020,IAA_2020,IEG_2020,IPS_2020,IDA_2020,IPP_2020,IPV_2020,IAN_2020
ALUNO-1,Escola Pública,11,2,2,H,Não,7.884,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.5,8.7,7.5,7.0,5.938,7.75,10.0
ALUNO-3,Escola Pública,12,2,3,H,Não,7.856,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.917,8.9,7.5,5.5,8.125,8.111,10.0
ALUNO-4,Escola Pública,10,2,1,D,Não,5.076,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.0,4.1,6.875,0.0,7.188,7.75,5.0
ALUNO-5,Escola Pública,10,1,2,M,Não,8.077,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.5,8.0,7.5,7.5,8.438,8.167,10.0
ALUNO-8,Rede Decisão/União,14,3,4,L,Sim,8.381,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.333,9.9,4.375,7.333,8.75,8.944,10.0
ALUNO-10,Escola Pública,13,1,3,B,Não,5.162,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,5.833,5.2,3.75,0.0,7.969,6.833,10.0
ALUNO-11,Escola Pública,8,0,0,A,Sim,9.713,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.0,10.0,8.125,10.0,10.0,10.0,10.0
ALUNO-12,Rede Decisão/União,14,3,3,G,Não,5.839,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,6.25,6.0,5.625,6.667,5.625,5.278,5.0
ALUNO-14,Escola Pública,11,2,2,M,Não,6.435,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.0,7.6,6.875,0.0,8.438,7.917,10.0
ALUNO-15,Escola Pública,12,1,2,D,Não,5.163,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.5,4.0,7.5,0.0,8.125,7.25,5.0
ALUNO-17,Escola Pública,13,2,1,G,Não,7.766,B,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.5,6.8,7.5,10.0,6.562,7.75,5.0
ALUNO-18,Escola Pública,14,3,3,E,Não,7.206,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.583,7.0,7.5,6.5,7.083,7.944,5.0
ALUNO-28,Rede Decisão/União,13,2,3,J,Sim,9.355,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.583,9.6,6.875,9.0,10.0,9.944,10.0
ALUNO-30,Escola Pública,7,0,0,C,Não,7.125,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.917,10.0,7.5,4.75,2.5,6.917,10.0
ALUNO-33,Escola Pública,13,0,3,E,Não,7.014,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,6.667,4.5,7.5,8.667,7.083,6.278,10.0
ALUNO-34,Escola Pública,12,2,2,C,Não,7.699,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.5,9.3,6.875,7.0,8.125,7.944,5.0
ALUNO-35,Escola Pública,18,3,7,B,Não,6.644,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.75,6.1,6.25,5.0,7.656,8.292,5.0
ALUNO-36,Escola Pública,14,1,3,C,Não,8.308,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.583,9.9,7.5,8.0,8.75,8.222,5.0
