NOME,INSTITUICAO_ENSINO_ALUNO_2021,FASE_2021,TURMA_2021,PONTO_VIRADA_2021,SINALIZADOR_INGRESSANTE_2021,INDE_2021,PEDRA_2021,IAA_2021,IEG_2021,IPS_2021,IDA_2021,IPP_2021,IPV_2021,IAN_2021,REC_EQUIPE_1_2021,REC_EQUIPE_2_2021,REC_EQUIPE_3_2021,REC_EQUIPE_4_2021,NIVEL_IDEAL_2021,DEFASAGEM_2021
ALUNO-1,Rede Decisão,2,G,Não,Ingressante,7.319,Ametista,7.5,6.3,6.9,8.8,7.7,8.1,5.0,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),-1
ALUNO-3,Escola Pública,3,F,Não,Veterano,7.021,Ametista,7.1,6.9,6.3,5.6,7.3,7.2,10.0,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),0
ALUNO-5,Escola Pública,2,L,Não,Veterano,7.399,Ametista,7.4,7.5,7.5,5.4,8.5,7.4,10.0,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),0
ALUNO-8,Rede Decisão,5,L,Não,Veterano,8.269,Topázio,8.8,8.6,7.5,7.1,8.0,8.5,10.0,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Nível 5 (1o EM),0
ALUNO-11,Rede Decisão,1,A,Sim,Veterano,8.99,Topázio,9.0,10.0,6.3,8.8,7.7,9.7,10.0,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 1 (4o ano),0
ALUNO-13,Escola Pública,0,T,Não,Ingressante,3.413,Quartzo,8.0,0.0,7.5,0.8,0.0,6.0,5.0,Não avaliado,Não avaliado,Não avaliado,Não avaliado,Nível 1 (4o ano),-1
ALUNO-17,Escola Pública,1,G,Não,Veterano,6.14,Ágata,9.5,4.2,7.5,2.6,8.4,8.8,5.0,Não avaliado,Mantido na Fase atual,Mantido na Fase + Bolsa,Não avaliado,Nível 3 (7o e 8o ano),-2
ALUNO-18,Escola Pública,4,F,Não,Veterano,5.666,Ágata,10.0,3.3,6.3,5.3,7.7,5.2,5.0,Mantido na Fase atual,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase atual,Nível 5 (1o EM),-1
ALUNO-19,Escola Pública,2,C,Não,Ingressante,6.751,Ágata,9.0,6.3,7.5,4.6,7.7,8.3,5.0,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),-1
ALUNO-28,Rede Decisão,4,G,Sim,Ingressante,9.079,Topázio,8.3,9.2,7.5,8.8,9.4,9.9,10.0,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Nível 4 (9o ano),0
ALUNO-29,Escola Pública,3,D,Não,Ingressante,6.342,Ágata,9.6,5.3,7.5,3.8,7.5,7.9,5.0,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 5 (1o EM),-2
