NOME,ANO_INGRESSO_2022,BOLSISTA_2022,FASE_2022,TURMA_2022,PONTO_VIRADA_2022,INDE_2022,PEDRA_2022,CG_2022,CF_2022,CT_2022,DESTAQUE_IEG_2022,DESTAQUE_IDA_2022,DESTAQUE_IPV_2022,IAA_2022,IEG_2022,IPS_2022,IDA_2022,IPP_2022,IPV_2022,IAN_2022,NOTA_PORT_2022,NOTA_MAT_2022,NOTA_ING_2022,QTD_AVAL_2022,REC_AVA_1_2022,REC_AVA_2_2022,REC_AVA_3_2022,REC_AVA_4_2022,NIVEL_IDEAL_2022,INDICADO_BOLSA_2022
ALUNO-2,2022,False,0,K,Não,7.676,Ametista,245,66,6,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.0,7.582,7.5,8.817,5.625,7.917,5.0,8.2,9.433,0.0,2,Mantido na Fase + Bolsa,Mantido na Fase atual,,,Fase 2 (5º e 6º ano),True
ALUNO-4,2022,False,2,J,Não,7.117,Ametista,451,69,3,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.0,8.071,7.5,5.083,6.25,8.056,5.0,5.0,5.167,0.0,3,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,,Fase 3 (7º e 8º ano),False
ALUNO-5,2019,False,2,L,Não,7.232,Ametista,415,61,12,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,6.417,8.558,7.5,7.083,6.458,7.833,5.0,6.667,7.5,0.0,3,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Fase 3 (7º e 8º ano),False
ALUNO-6,2022,False,2,K,Não,7.742,Ametista,221,35,2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.0,9.333,7.5,5.5,6.25,7.5,10.0,3.0,8.0,0.0,3,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Fase 2 (5º e 6º ano),False
ALUNO-7,2022,False,1,U,Não,7.407,Ametista,357,93,7,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.0,9.315,7.5,5.583,5.938,7.917,5.0,4.667,6.5,0.0,2,Promovido de Fase,Promovido de Fase,,,Fase 2 (5º e 6º ano),False
ALUNO-8,2017,True,5,K,Não,7.29,Ametista,397,26,6,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.167,8.268,5.0,7.144,7.656,7.625,5.0,6.5,7.667,7.267,4,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase + Bolsa,Promovido de Fase,Fase 6 (2º EM),False
ALUNO-9,2022,False,0,Z,Não,5.666,Quartzo,767,184,9,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.0,6.82,5.0,2.133,3.75,5.5,10.0,2.467,1.8,0.0,2,Mantido na Fase atual,Mantido na Fase atual,,,ALFA  (2º e 3º ano),False
ALUNO-11,2020,True,1,A,Sim,8.465,Topázio,40,5,1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.0,9.198,7.5,9.833,7.083,9.5,5.0,10.0,9.667,0.0,3,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase + Bolsa,,Fase 2 (5º e 6º ano),False
ALUNO-16,2022,False,1,P,Não,6.996,Ágata,489,129,9,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.5,9.339,6.875,6.333,4.792,6.722,5.0,5.5,7.167,0.0,3,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Fase 2 (5º e 6º ano),False
ALUNO-17,2018,False,1,G,Não,6.723,Ágata,580,142,6,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.5,6.648,7.5,5.5,5.938,7.5,5.0,4.333,6.667,0.0,2,Mantido na Fase atual,Promovido de Fase,,,Fase 3 (7º e 8º ano),False
